KAB_KOTA;IPM; Anggaran  ;IPG;PKKP;PPM;PPK;PPK_Makanan;Air Layak;IKK;PDRB;IKKe;Bekerja_Informal;Bekerja_Formal
SOLOK SELATAN;71.5;128.299.426.000;50.47;10.95;6.56;11240;52.32;69.02;91.49;7588;0.22;50.43;20.63
SOPPENG;71.39;161.927.293.000;69.91;12.87;6.9;10547;49.79;97.11;95.82;16099;0.15;40.42;16.79
SORONG;68.29;260.999.849.000;57.01;23.54;25.71;8283;49.79;86.72;116.59;12450;2.35;36.34;25.75
SORONG SELATAN;64.5;84.937.684.000;53.55;20.94;17.83;6928;48.98;78.55;118.81;2339;1.07;65.25;14.1
SRAGEN;75.53;411.880.159.000;70.28;8.12;12.41;13890;53.56;92.41;101.67;52434;0.67;43.75;26.94
SUBANG;71.36;1.613.016.887.000;71.76;6.19;9.49;11894;56.75;87.83;105.33;54946;0.46;35.91;24.11
SUKABUMI;68.97;654.219.785.000;65;5.82;6.87;9815;58.8;79.44;103.12;88142;0.2;37.22;22.38
SUKAMARA;69.85;102.467.310.000;63.48;6.15;4.14;9809;53.96;82.36;111.64;6498;0.04;31.82;31.56
SUKOHARJO;79.3;1.523.134.650.000;73.79;8.05;7.47;12758;45.07;96.12;100.45;49987;0.31;28.03;38.49
SUMBA BARAT;66.06;131.758.468.000;69.51;12;26.52;8243;56.29;75.2;99.11;3005;1.43;48.89;16.85
SUMBA BARAT DAYA;64.27;156.607.901.000;63.53;10.59;27.2;7358;67.04;77.06;96.6;4930;0.85;64.74;11.13
SUMBA TENGAH;64.31;30.046.673.000;66.22;11.58;30.84;6743;56.11;47.56;98.03;1527;2.36;55.18;14.15
SUMBA TIMUR;67.68;277.523.546.000;58.42;10.61;27.04;10280;58.0;70.11;97.82;7800;2.18;54.61;19.51
SUMBAWA;70.55;341.533.621.000;72.58;2.55;12.87;10349;53.31;91.55;95.97;18517;0.53;40.34;21.04
SUMBAWA BARAT;73.86;118.704.848.000;53.49;0.87;12.23;12841;52.98;94.83;97.37;36565;0.65;36.29;31.99
SUMEDANG;73.73;909.102.918.000;76.99;5.43;9.1;11589;56.3;91.91;103.47;47128;0.45;40.94;24.69
SUMENEP;69.26;519.284.169.000;63.22;6.49;17.78;10156;;83.19;102.75;45222;1.53;52.08;17.65
SUPIORI;65.15;55.680.507.000;48.49;33.58;37.72;6474;56.0;60.43;134.73;1246;5.35;27.94;20.59
TABALONG;74.41;252.570.899.000;75.83;3.06;5.64;13097;52.24;89.67;100.89;32643;0.2;42.93;23.18
TABANAN;78.42;281.235.437.000;75.48;2.59;4.4;15297;43.18;98.32;104.23;27650;0.19;36.96;34.63
TAKALAR;69.47;311.036.836.000;73.63;11.14;7.75;11679;50.24;99.58;93.14;13428;0.29;30.82;24.42
TAMBRAUW;56.32;58.056.733.000;43.17;21.21;29.88;5489;47.71;64.94;130.55;305;1.09;50.23;16.81
TANA TIDUNG;70.08;30.153.285.000;61.1;14.96;4.47;8707;43.49;89.4;107.88;9297;0.07;25.68;36.51
TANA TORAJA;71.67;240.469.268.000;61.66;7.94;10.79;8319;54.41;72.98;99.64;10159;0.25;50.92;18.64
TANAH BUMBU;72.95;219.174.109.000;64.51;2.17;3.41;13026;46.61;59.87;98.82;35709;0.14;26.71;34.75
TANAH DATAR;74.9;443.171.628.000;60.69;9.1;4.28;11223;55.28;86.79;92.26;17496;0.07;50.95;17.86
TANAH LAUT;71.43;334.273.577.000;76.98;4.14;3.74;12595;54.17;100;101.31;21254;0.21;37.06;28
TANGGAMUS;68.52;266.099.335.000;60.46;10.65;10.28;10524;60.89;88.29;87.91;21198;0.35;49.12;12.15
TANJUNG JABUNG BARAT;69.93;190.329.637.000;63.43;13.9;9.54;10696;57.63;72.13;101.51;55733;0.24;43.26;19.97
TANJUNG JABUNG TIMUR;67.54;190.918.189.000;65.1;13.25;10.14;10328;56.53;92.17;101.04;27296;0.76;41.62;20.87
TAPANULI SELATAN;72.14;227.416.790.000;66.1;7.68;6.92;12213;61.78;90.02;93.67;21276;0.08;53.14;19.03
TAPANULI TENGAH;71.52;217.664.343.000;79.25;6.66;11.8;11128;62.2;91.17;100.58;13671;0.21;42.78;25.90
TAPANULI UTARA;75.23;270.022.407.000;63.8;6.64;8.21;12382;64.07;77.14;94.53;11279;0.35;64.46;14.33
TAPIN;72.51;176.842.351.000;65.08;3.05;3.33;13163;54.94;79.78;99.21;14407;0.03;37.19;25.42
TASIKMALAYA;68.36;815.621.765.000;60.82;5.95;10.23;8965;57.32;90.39;98.5;49783;0.15;41.72;21.65
TEBO;71.32;181.069.971.000;58.35;11.03;6.12;11415;59.74;78.44;91.68;23909;0.12;40.82;22.41
TEGAL;70.77;367.701.275.000;76.03;9.39;6.81;10972;53.21;89.26;101.18;47721;0.22;30.00;29.15
TELUK BINTUNI;66.75;335.309.435.000;49.78;19.24;26.99;10592;51.78;85.37;130.92;52360;2.25;32.64;28.07
TELUK WONDAMA;62.36;96.431.217.000;69.14;21.08;28.47;8887;56.17;86.53;115.25;1856;1.15;39.23;25.57
TEMANGGUNG;71.87;346.715.103.000;74.28;11.72;8.67;10519;51.07;89.59;99.95;28924;0.18;52.68;21.41
TIMOR TENGAH SELATAN;64.36;183.205.338.000;52.73;12.61;24.68;7755;56.63;75.51;86.09;10243;1.23;67.02;12.04
TIMOR TENGAH UTARA;65.83;337.401.199.000;68.32;13.2;20.89;7242;55.25;87.81;85.04;5156;0.94;52.41;15.47
TOBA SAMOSIR;76.91;201.711.674.000;71.96;7.72;8.07;12960;55.69;96.4;94.11;10284;0.17;60.23;16.29
TOJO UNA-UNA;66.97;196.063.647.000;64.62;12.29;16.36;8863;57.6;81.33;87.91;7354;0.4;38.42;21.64
TOLIKARA;52.05;15.254.696.000;56.07;38.64;31.22;5653;74.9;;288.59;2176;0.42;83.05;2.65
TOLI-TOLI;68.37;267.484.115.000;69.05;15.48;12.45;8918;51.0;79.58;92.06;11075;0.42;33.86;27.57
TORAJA UTARA;71.85;112.970.834.000;66.57;5.13;10.73;9292;55.22;61.61;100.23;13258;0.24;44.83;17.01
TRENGGALEK;72.24;304.943.969.000;67.18;14.75;10.5;10872;;93.11;97.25;24365;0.28;46.75;21.08
TUBAN;71.23;420.214.087.000;72.29;7.89;14.36;11579;;89.66;97.93;87111;0.39;40.59;25.28
TULANGBAWANG;70.66;164.464.488.000;71.47;10.78;7.22;12122;58.61;95.14;90.65;30499;0.19;40.62;22.47
TULANGBAWANG BARAT;68.46;118.817.490.000;59.62;10.21;7.88;9646;52.93;92.84;93.52;15595;0.17;46.44;18.55
TULUNGAGUNG;75.09;770.930.600.000;69.99;10.06;6.28;11966;;94.18;93.25;51247;0.1;45.91;19.77
WAJO;71.52;199.597.379.000;57.91;8.14;6.47;13608;47.62;84.15;95.05;25954;0.22;41.4;19.6
WAKATOBI;72.02;218.646.728.000;80.23;9.48;14.36;10739;51.98;99.92;109.48;6140;0.83;46.65;19.62
WAROPEN;66.92;66.697.498.000;53.34;36.35;29.85;7569;55.51;64.01;144.6;2452;1.69;38.34;17.58
WAY KANAN;69.31;183.919.527.000;72.37;10.61;10.43;10439;60.23;87.39;89.19;19222;0.36;42.56;25.51
WONOGIRI;72.55;343.269.218.000;79.72;10.25;10.71;10634;48.39;91.12;100.13;39762;0.33;45.75;22.58
WONOSOBO;69.82;387.936.827.000;56.61;13.39;15.28;11980;54.64;89.26;99.74;25028;0.6;47.91;22.67
YAHUKIMO;51.98;75.336.860.000;33.99;46.36;33.82;5747;74.65;54.91;169.54;3157;0.93;85.4;1
YALIMO;51.85;31.657.502.000;28.09;14.72;30.02;5226;55.26;50.45;243.53;1709;4.26;79.74;
